HOUSEID,WTHHFIN,NUMADLT,HOMEOWN,HOMETYPE,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CNTTDHH,CDIVMSAR,HHFAMINC_IMP,HHSIZE,HHVEHCNT,HHRELATD,LIF_CYC,MSASIZE,URBANSIZE,URBRUR,PPT517,YOUNGCHILD,RESP_CNT,URBRUR_2010,WRKCOUNT
0,6154.553515,1,1,1,1,2,1,2,1,2,21,6,1,1,2,1,5,4,1,0,0,1,1,1
0,3438.509684,2,1,1,1,2,1,2,2,5,21,10,2,2,1,2,5,4,1,0,0,2,1,2
0,5170.459345,2,3,2,2,2,1,2,2,12,22,6,2,2,1,2,4,3,1,0,0,2,1,2
0,7515.084035,2,2,1,1,2,1,2,2,4,21,7,2,2,1,10,5,4,1,0,0,2,1,0
0,23552.94872,2,2,1,2,2,1,2,2,0,22,8,2,1,1,10,4,3,1,0,0,2,1,1
0,25953.91121,2,2,1,2,2,1,2,2,5,23,4,2,2,1,10,1,1,1,0,0,2,1,0
0,8045.074901,1,3,3,1,2,1,2,1,5,21,6,1,1,2,1,5,4,1,0,0,1,1,1
0,48605.94018,2,3,3,1,2,1,1,1,0,21,2,2,0,1,2,5,4,1,0,0,2,1,0
0,7772.159554,1,2,1,2,2,1,2,1,2,22,4,1,1,2,9,4,3,1,0,0,1,1,0
0,14559.91763,2,2,1,2,2,1,2,2,2,23,3,2,2,1,10,1,6,2,0,0,2,2,0
0,25238.54649,1,3,3,2,2,1,2,0,2,22,1,1,0,2,1,4,6,1,0,0,1,1,0
0,11111.0163,4,2,1,1,2,1,2,4,6,21,10,4,4,1,10,5,4,1,0,0,4,1,3
0,13086.28006,3,1,1,1,2,1,2,3,2,21,7,3,6,1,10,5,4,1,0,0,3,1,1
0,16939.95554,2,1,2,2,2,1,2,2,2,23,11,2,2,1,2,1,2,1,0,0,2,1,1
0,31673.82257,3,2,3,1,2,1,1,2,8,21,6,3,2,1,2,5,4,1,0,0,3,1,3
0,8049.98813,1,2,1,1,2,1,2,1,0,21,3,1,1,2,9,5,4,1,0,0,1,1,0
0,9418.751927,1,1,1,2,2,1,2,1,6,23,8,2,1,1,5,3,1,1,1,0,2,1,1
0,14421.64612,1,3,3,2,2,1,2,1,2,23,3,1,1,2,9,1,2,1,0,0,1,1,0
0,12730.69605,1,3,3,1,2,1,2,1,0,21,10,1,1,2,1,5,4,1,0,0,1,1,1
0,19312.46172,1,3,3,1,2,1,2,0,2,21,3,1,0,2,1,5,4,1,0,0,1,1,1
0,6835.78021,1,3,3,1,2,1,2,0,2,21,6,1,0,2,1,5,4,1,0,0,1,1,1
0,10918.82209,3,1,1,1,2,1,2,2,8,21,11,5,2,1,6,5,4,1,2,0,5,1,2
0,17096.5803,2,1,1,1,2,1,2,2,6,21,11,4,3,1,4,5,6,2,1,1,3,2,2
0,6243.24759,1,2,1,2,2,1,2,1,3,23,2,1,1,2,1,3,2,1,0,0,1,1,0
0,8405.448737,3,2,3,1,2,1,1,1,6,21,6,3,1,1,10,5,4,1,0,0,3,1,0
0,26550.93428,1,3,3,1,2,1,2,0,0,21,4,1,0,2,1,5,4,1,0,0,1,1,1
0,15362.82581,1,2,3,1,2,1,2,0,2,21,8,1,0,2,1,5,4,1,0,0,1,1,1
0,3673.33293,1,2,1,2,2,1,2,1,2,24,6,1,1,2,9,6,6,2,0,0,1,2,0
0,13667.26243,1,2,2,2,2,1,2,1,3,23,6,1,2,2,1,1,6,2,0,0,1,2,1
0,7067.18322,3,1,1,2,2,1,2,3,0,23,6,3,2,1,10,1,6,1,0,0,3,2,0
0,15614.32257,2,1,4,2,2,1,2,1,0,23,6,2,1,1,10,1,6,2,0,0,2,2,1
0,5461.982213,1,3,3,2,2,1,2,1,2,24,4,2,1,1,5,6,6,1,1,0,2,1,1
0,5903.527865,1,1,1,2,2,1,2,1,0,23,5,1,1,2,1,1,6,1,0,0,1,1,1
0,7105.847115,1,1,1,2,2,1,2,1,2,23,7,2,2,1,3,1,6,1,0,1,1,1,1
0,19839.93106,3,1,1,2,2,1,2,3,0,23,4,4,2,1,6,1,6,2,1,0,4,2,1
0,4397.389941,2,3,3,2,2,1,2,2,6,23,3,5,2,1,4,1,6,1,1,2,3,1,2
0,4574.733753,2,2,1,2,2,1,2,2,2,23,6,2,2,1,10,1,6,2,0,0,2,2,0
0,21593.01002,2,3,3,2,2,1,2,2,0,24,1,4,1,1,6,6,6,2,2,0,4,1,0
0,21168.08797,2,1,1,2,2,1,2,2,0,23,7,4,3,1,4,1,6,2,0,2,2,2,1
0,12508.92519,2,3,4,2,2,1,2,2,2,23,3,3,1,1,6,1,6,2,1,0,3,2,2
0,3331.499835,1,2,4,2,2,1,2,1,0,23,3,1,2,2,9,1,6,2,0,0,1,2,0
